Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
1,"GROVE1",,CONNECTOR_4P-LEADED-2.0,ACC39145O,Seeed Studio,SD,ACC39145O,Seeed Universal Grove Connector,*,REF178
4,"LED1, LED2, LED3, LED4",,CHIPLED_0603,LTST-C190GKT,LITE-ON INC (VA),DK,160-1183-1-ND,LED GREEN CLEAR 0603 SMD,603,REF176
1,"CFG1",,JP5Q,M20-9720545,Harwin,DK,952-1927-ND,2X5POS DIL VERTICAL PIN HEADER,*,REF177
5,"S1, S2, S3, S4, S5",,EVQ-Q2,PTS525SM10SMTR LFS,C&K Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,*,REF119
5,"C3, C4, C5, C6, C7",.1uF,0805,GRM21BR71E104KA01L,MURATA ELECTRONICS (VA),DK,490-1673-1-ND,CAP CER .1UF 25V 10% X7R 0805,805,REF97
3,"R33, R37, R40",1K,0603,RMCF0603JT1K00,StackPole,DK,RMCF0603JT1K00CT-ND,RES 1K OHM 1/10W 5% 0603,603,REF140
3,"R32, R36, R41",2K,0603,RMCF0603JT2K00,Stackpole,DK,RMCF0603JT2K00CT-ND,RES 2K OHM 1/10W 5% 0603,603,REF172
4,"R22, R28, R45, R46",3.3K,0603,RMCF0603JT3K30,Stackpole,DK,RMCF0603JT3K30CT-ND,RES 3.3K OHM 1/10W 5% 0603,603,REF168
3,"R31, R35, R42",3.9K,0603,RMCF0603JT3K90,Stackpole,DK,RMCF0603JT3K90CT-ND,RES 3.9K OHM 1/10W 5% 0603,603,REF171
24,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24, R25",47K,0603,RMCF0603JT47K0,Stackpole,DK,RMCF0603JT47K0CT-ND,RES 47K OHM 1/10W 5% 0603,603,REF167
2,"R29, R30",82.5,0603,RMCF0603FT82R5,Stackpole,DK,RMCF0603FT82R5CT-ND,RES 82.5 OHM 1/10W 1% 0603,603,REF170
6,"R26, R27, R43, R44, R47, R48",390,0603,RMCF0603JT390R,StackPole,DK,RMCF0603JT390RCT-ND,RES 390 OHM 1/10W 5% 0603,603,REF141
3,"R34, R38, R39",510,0603,RMCF0603JT510R,Stackpole,DK,RMCF0603JT510RCT-ND,RES 510 OHM 1/10W 5% 0603,603,REF174
4,"C1, C2, C8, C9",4700pF,0603,C0603C472J5RACTU,Kemet,DK,399-1088-1-ND,CAP CER 4700PF 50V 5% X7R 0603 - Audio cap,603,REF175
2,"AJ1, AJ2",AUDIO-CONNECTOR-6P-SMD-3440030P1,6P-SMD-3.5,3440030P1,Seeed Studio,SD,3440030P1,6P-SMD-3.5 - Audio Connector,*,REF183
1,"H1",Arduino Mega Header,AMEGA_SHIELD_NOANALOG,Arduino_Mega_Header,Generic,GN,N/A,1x65 Male Pin Header .1,*,REF185
2,"PS2_A, PS2_B",CON_PS/2,PS/2,MD-60S,CUI,DK,CP-2460-ND,CONN MINIDIN RECPT UNSHIELD 6POS - PS/2,*,REF180
1,"IC1",MAX3232CSE,SO16,MAX3232ECDR,Texas Instruments,DK,296-19851-1-ND,IC RS232 3V5.5V 15KVESD 16-SOIC - Max3232,SO16,REF184
1,"SD1",MICROSD,MICROSD,101-00660-68-6,Amphenol,DK,101-00660-68-6-1-ND,CONN MINI MICRO-SD 8PIN PCB GOLD - MicroSD,*,REF181
3,"JS1, JS2, SP1",Serial Port,M09HP,10090097-P094VLF,FCI,DK,609-4003-ND,DSUB R/A US 9POS PIN - Serial Port,*,REF179
1,"X1",VGA,HDF15H,1-1734530-1,TE Connectivity,DK,A35116-ND,CONN HD D-SUB RCPT R/A 15POS - VGA Connector,*,REF182
