Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,,XREF
1,"X1",,HDF15H,1-1734530-1,TE Connectivity,DK,A35116-ND,CONN HD D-SUB RCPT R/A 15POS - VGA Connector,*,*,REF182
3,"JP1, JP2, JP3",,1X06,68000-406HLF,FCI,DK,609-3263-ND,6 Pin Male Header,1X06,*,REF190
8,"SW0, SW1, SW2, SW3, SW4, SW5, SW6, SW7",,EG1218,EG1218,E-Switch,DK,EG1903-ND,SWITCH SLIDE SPDT 30V.2A PC MNT - Used in Logicstart,EG1218,*,REF187
8,"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7",,CHIPLED_0805,LTST-C170KGKT,LITE-ON INC (VA),DK,160-1414-1-ND,LED GREEN CLEAR 0805 SMD,805,*,REF111
4,"S1, S2, S3, S4",,EVQ-Q2,PTS525SM10SMTR LFS,C&K Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,*,*,REF119
3,"R36, R39, R43",1K,0603,RMCF0603JT1K00,StackPole,DK,RMCF0603JT1K00CT-ND,RES 1K OHM 1/10W 5% 0603,603,*,REF140
3,"R35, R40, R44",2K,0603,RMCF0603JT2K00,Stackpole,DK,RMCF0603JT2K00CT-ND,RES 2K OHM 1/10W 5% 0603,603,*,REF172
2,"R2, R3",3.3K,0603,RMCF0603JT3K30,Stackpole,DK,RMCF0603JT3K30CT-ND,RES 3.3K OHM 1/10W 5% 0603,603,*,REF168
3,"R34, R41, R45",3.9K,0603,RMCF0603JT3K90,Stackpole,DK,RMCF0603JT3K90CT-ND,RES 3.9K OHM 1/10W 5% 0603,603,*,REF171
1,"7SEG",7-SEGMENT-4DIGIT,7-SEGMENT-4DIGIT,AL-D4012BWSR/58-040C,China Young Sun LED,SP,COM-09483,Sparkfun - Seven Segment Display - Used in LogicStart,7-SEGMENT-4DIGIT,*,REF189
8,"R7, R8, R9, R10, R14, R18, R24, R30",10K,0603,RMCF0603JT10K0,StackPole,DK,RMCF0603JT10K0CT-ND,RES 10K OHM 1/10W 5% 0603,603,*,REF142
4,"R1, R4, R5, R6",47K,0603,RMCF0603JT47K0,Stackpole,DK,RMCF0603JT47K0CT-ND,RES 47K OHM 1/10W 5% 0603,603,*,REF167
2,"R46, R47",82.5,0603,RMCF0603FT82R5,Stackpole,DK,RMCF0603FT82R5CT-ND,RES 82.5 OHM 1/10W 1% 0603,603,*,REF170
8,"R17, R20, R22, R25, R27, R29, R32, R33",100,0603,CRCW0603100RJNEA,VISHAY DALE (VA),DK,541-100GCT-ND,RES 100 OHM 1/10W 5% 0603 SMD,603,*,REF192
8,"R15, R16, R19, R21, R23, R26, R28, R31",220E,0603,RMCF0603JT220R,Stackpole,DK,RMCF0603JT220RCT-ND,RES 220 OHM 1/10W 5% 0603,603,*,REF186
3,"R11, R12, R13",390E,0603,RMCF0603JT390R,StackPole,DK,RMCF0603JT390RCT-ND,RES 390 OHM 1/10W 5% 0603,603,*,REF141
3,"R37, R38, R42",510,0603,RMCF0603JT510R,Stackpole,DK,RMCF0603JT510RCT-ND,RES 510 OHM 1/10W 5% 0603,603,*,REF174
2,"C1, C2",4700pF,0603,C0603C472J5RACTU,Kemet,DK,399-1088-1-ND,CAP CER 4700PF 50V 5% X7R 0603 - Audio cap,603,*,REF175
1,"J1",AUDIO-CONNECTOR-6P-SMD-3440030P1,6P-SMD-3.5,3440030P1,Seeed Studio,SD,3440030P1,6P-SMD-3.5 - Audio Connector,*,*,REF183
1,"H1",Arduino Mega Header,PAPILIO_DUO_SHIELD,65PinHeader,Generic,GN,65PinHeader,1x65 Male Pin Header .1 inch - To be broken up for Arduino Header,*,*,REF185
5,"Q1, Q2, Q3, Q4, Q5",MMBTA56,SOT23,MMBTA56,Fairfield Semiconductor,DK,MMBTA56FSCT-ND,TRANSISTOR GP PNP AMP SOT-23 - For 7 Seg Display,SOT23,*,REF191
